class,class_idx,cell,oos_coverage_mean
ship,0,ORCNN,0.8990678772401741
storagetank,1,ORCNN,0.9003493772433565
vehicle,2,ORCNN,0.9039797898203975
tenniscourt,3,ORCNN,0.8968737904980412
airplane,4,ORCNN,0.8982401362026285
baseballfield,5,ORCNN,0.901031825792036
windmill,6,ORCNN,0.8996514261972612
basketballcourt,7,ORCNN,0.8984818875743127
groundtrackfield,8,ORCNN,0.9031206467581452
harbor,9,ORCNN,0.9012394767571015
bridge,10,ORCNN,0.9055829266377146
overpass,11,ORCNN,0.8982790823451824
expressway-service-area,12,ORCNN,0.8964900497569502
chimney,13,ORCNN,0.8989551394411514
stadium,14,ORCNN,0.9059302971463353
expressway-toll-station,15,ORCNN,0.9125524724389299
golffield,16,ORCNN,0.8866418288586079
airport,17,ORCNN,0.9056924785384874
trainstation,18,ORCNN,0.9021390563781901
dam,19,ORCNN,0.9126772111025947
ship,0,RTMDet,0.8991011865597731
storagetank,1,RTMDet,0.8995467977792865
vehicle,2,RTMDet,0.899357688501488
tenniscourt,3,RTMDet,0.9073682995069554
airplane,4,RTMDet,0.8996584099119099
baseballfield,5,RTMDet,0.8981670116502812
windmill,6,RTMDet,0.8951435152092424
basketballcourt,7,RTMDet,0.8937616850254446
groundtrackfield,8,RTMDet,0.905220339393359
harbor,9,RTMDet,0.898841622866939
bridge,10,RTMDet,0.9019260176246645
overpass,11,RTMDet,0.8951387623463942
expressway-service-area,12,RTMDet,0.904830413386092
chimney,13,RTMDet,0.8998992722558455
stadium,14,RTMDet,0.8914238819224632
expressway-toll-station,15,RTMDet,0.8976636700955887
golffield,16,RTMDet,0.8988902976441606
airport,17,RTMDet,0.8959853802408329
trainstation,18,RTMDet,0.8990389441014013
dam,19,RTMDet,0.9027504358867755
ship,0,RoI-Trans,0.9007955466702375
storagetank,1,RoI-Trans,0.904608767757131
vehicle,2,RoI-Trans,0.9036139817806517
tenniscourt,3,RoI-Trans,0.8954327778114062
airplane,4,RoI-Trans,0.9080047958456315
baseballfield,5,RoI-Trans,0.8941086318786816
windmill,6,RoI-Trans,0.9004178375347301
basketballcourt,7,RoI-Trans,0.9033347674848631
groundtrackfield,8,RoI-Trans,0.8905906990971962
harbor,9,RoI-Trans,0.8985445983579318
bridge,10,RoI-Trans,0.9038810033549204
overpass,11,RoI-Trans,0.905219463575753
expressway-service-area,12,RoI-Trans,0.9040831606303256
chimney,13,RoI-Trans,0.906919458833905
stadium,14,RoI-Trans,0.8933879206123867
expressway-toll-station,15,RoI-Trans,0.9002046245732176
golffield,16,RoI-Trans,0.907487522047079
airport,17,RoI-Trans,0.8932552331063214
trainstation,18,RoI-Trans,0.8968846441399801
dam,19,RoI-Trans,0.9095441693540977
ship,0,S2A-Net,0.9014944449010477
storagetank,1,S2A-Net,0.9018369590752251
vehicle,2,S2A-Net,0.8998009613291664
tenniscourt,3,S2A-Net,0.8947389369988146
airplane,4,S2A-Net,0.9026760113627601
baseballfield,5,S2A-Net,0.8962252275518263
windmill,6,S2A-Net,0.8970335660452541
basketballcourt,7,S2A-Net,0.8941307091038271
groundtrackfield,8,S2A-Net,0.8959162702822228
harbor,9,S2A-Net,0.8921322963308486
bridge,10,S2A-Net,0.9069933524921371
overpass,11,S2A-Net,0.8994994198572493
expressway-service-area,12,S2A-Net,0.905964184224557
chimney,13,S2A-Net,0.9018935971724259
stadium,14,S2A-Net,0.8973162883407829
expressway-toll-station,15,S2A-Net,0.8948457199696283
golffield,16,S2A-Net,0.9034316477848126
airport,17,S2A-Net,0.8891065157774822
trainstation,18,S2A-Net,0.9121436980956765
dam,19,S2A-Net,0.9002226988096304
