class,class_idx,oos_coverage_mean
ship,0,0.8990678772401741
storagetank,1,0.9003493772433565
vehicle,2,0.9039797898203975
tenniscourt,3,0.8968737904980412
airplane,4,0.8982401362026285
baseballfield,5,0.901031825792036
windmill,6,0.8996514261972612
basketballcourt,7,0.8984818875743127
groundtrackfield,8,0.9031206467581452
harbor,9,0.9012394767571015
bridge,10,0.9055829266377146
overpass,11,0.8982790823451824
expressway-service-area,12,0.8964900497569502
chimney,13,0.8989551394411514
stadium,14,0.9059302971463353
expressway-toll-station,15,0.9125524724389299
golffield,16,0.8866418288586079
airport,17,0.9056924785384874
trainstation,18,0.9021390563781901
dam,19,0.9126772111025947
