class,class_idx,oos_coverage_mean
ship,0,0.8991011865597731
storagetank,1,0.8995467977792865
vehicle,2,0.899357688501488
tenniscourt,3,0.9073682995069554
airplane,4,0.8996584099119099
baseballfield,5,0.8981670116502812
windmill,6,0.8951435152092424
basketballcourt,7,0.8937616850254446
groundtrackfield,8,0.905220339393359
harbor,9,0.898841622866939
bridge,10,0.9019260176246645
overpass,11,0.8951387623463942
expressway-service-area,12,0.904830413386092
chimney,13,0.8998992722558455
stadium,14,0.8914238819224632
expressway-toll-station,15,0.8976636700955887
golffield,16,0.8988902976441606
airport,17,0.8959853802408329
trainstation,18,0.8990389441014013
dam,19,0.9027504358867755
