class,class_idx,oos_coverage_mean
ship,0,0.9007955466702375
storagetank,1,0.904608767757131
vehicle,2,0.9036139817806517
tenniscourt,3,0.8954327778114062
airplane,4,0.9080047958456315
baseballfield,5,0.8941086318786816
windmill,6,0.9004178375347301
basketballcourt,7,0.9033347674848631
groundtrackfield,8,0.8905906990971962
harbor,9,0.8985445983579318
bridge,10,0.9038810033549204
overpass,11,0.905219463575753
expressway-service-area,12,0.9040831606303256
chimney,13,0.906919458833905
stadium,14,0.8933879206123867
expressway-toll-station,15,0.9002046245732176
golffield,16,0.907487522047079
airport,17,0.8932552331063214
trainstation,18,0.8968846441399801
dam,19,0.9095441693540977
