class,class_idx,oos_coverage_mean
ship,0,0.9014944449010477
storagetank,1,0.9018369590752251
vehicle,2,0.8998009613291664
tenniscourt,3,0.8947389369988146
airplane,4,0.9026760113627601
baseballfield,5,0.8962252275518263
windmill,6,0.8970335660452541
basketballcourt,7,0.8941307091038271
groundtrackfield,8,0.8959162702822228
harbor,9,0.8921322963308486
bridge,10,0.9069933524921371
overpass,11,0.8994994198572493
expressway-service-area,12,0.905964184224557
chimney,13,0.9018935971724259
stadium,14,0.8973162883407829
expressway-toll-station,15,0.8948457199696283
golffield,16,0.9034316477848126
airport,17,0.8891065157774822
trainstation,18,0.9121436980956765
dam,19,0.9002226988096304
