cell,cell_idx,baseline,ratio_matched_mean,ratio_matched_min,ratio_matched_max
RTMDet--DOTA,0,naive-coord,0.928518,0.47068,1.255651
RTMDet--DOTA,0,hull,1.484112,1.359447,1.630848
ORCNN--DOTA,1,naive-coord,0.930518,0.416773,1.229378
ORCNN--DOTA,1,hull,1.459019,1.335686,1.609451
ORCNN--DIOR-R,2,naive-coord,0.791013,0.67316,0.885742
ORCNN--DIOR-R,2,hull,1.758635,1.654688,1.811654
RTMDet--DIOR-R,3,naive-coord,0.82534,0.741498,0.916672
RTMDet--DIOR-R,3,hull,1.698327,1.629042,1.817948
RoI-Trans--DIOR-R,4,naive-coord,0.757945,0.621593,0.856156
RoI-Trans--DIOR-R,4,hull,1.749384,1.66862,1.807706
S2A-Net--DIOR-R,5,naive-coord,0.848517,0.742243,0.967359
S2A-Net--DIOR-R,5,hull,1.656397,1.558608,1.723769
